Id,Name,DisplayName,PlantName,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,Operator,LastUpdatedAt,Source,IAEAId,WnaUrl
24,ATUCHA-1,Atucha-1,Atucha,-33.9668486,-59.20821123,Argentina,AR,Operational,PHWR,PHWR KWU,1968-05-31,1974-06-24,,319,Nucleoelectrica Argentina S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,3,https://world-nuclear.org/nuclear-reactor-database/details/atucha-1
25,ATUCHA-2,Atucha-2,Atucha,-33.96717886,-59.20327313,Argentina,AR,Operational,PHWR,PHWR KWU,1981-07-13,2016-05-26,,692,Nucleoelectrica Argentina S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,5,https://world-nuclear.org/nuclear-reactor-database/details/atucha-2
113,CAREM25,Carem25,Carem-25,-33.96784144,-59.21300846,Argentina,AR,Under Construction,PWR,CAREM Prototype (Integrated-PWR),2015-08-25,,,25,Comision Nacional De Energia Atomica,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,1055,https://world-nuclear.org/nuclear-reactor-database/details/carem25
114,EMBALSE,Embalse,Embalse,-32.2315,-64.4423,Argentina,AR,Operational,PHWR,CANDU 6,1974-03-31,1984-01-20,,608,Nucleoelectrica Argentina S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/embalse
115,ARMENIAN-1,Armenian-1,Armenian,40.1818,44.1472,Armenia,AM,Shutdown,PWR,VVER V-270,1969-07-01,1977-10-06,1989-02-25,376,Closed Joint Stock Company Armenian Npp,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/armenian-1
116,ARMENIAN-2,Armenian-2,Armenian,40.1813,44.1472,Armenia,AM,Operational,PWR,VVER V-270,1975-07-01,1980-05-03,,375,Closed Joint Stock Company Armenian Npp,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/armenian-2
117,ROOPPUR-1,Rooppur-1,Rooppur,24.06666,89.047222,Bangladesh,BD,Under Construction,PWR,VVER V-523,2017-11-30,,,1080,Nuclear Power Plant Company Bangladesh Limited,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/rooppur-1
118,ROOPPUR-2,Rooppur-2,Rooppur,24.06666,89.048222,Bangladesh,BD,Under Construction,PWR,VVER V-523,2018-07-14,,,1080,Nuclear Power Plant Company Bangladesh Limited,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/rooppur-2
119,BELARUSIAN-1,Ostrovets 1,Ostrovets,54.76198578,26.09694308,Belarus,BY,Operational,PWR,VVER V-491,2013-11-08,2021-06-10,,1110,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ostrovets-1
120,BELARUSIAN-2,Ostrovets 2,Ostrovets,54.75981689,26.09657267,Belarus,BY,Operational,PWR,VVER V-491,2014-04-27,2023-11-01,,1110,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ostrovets-2
121,BR-3,BR-3,BR-3,51.2168,5.09937,Belgium,BE,Shutdown,PWR,Prototype,1957-11-01,1962-10-10,1987-06-30,11,SCK-CEN,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/br-3
122,DOEL-1,Doel-1,Doel,51.3227,4.25868,Belgium,BE,Shutdown,PWR,W (2-loop),1969-07-01,1975-02-15,2025-02-14,392,Engie Electrabel + Edf Belgium + Edf Luminus,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/doel-1
123,DOEL-2,Doel-2,Doel,51.3227,4.25919,Belgium,BE,Shutdown,PWR,W (2-loop),1971-09-01,1975-12-01,2025-11-30,445,Engie Electrabel + Edf Belgium + Edf Luminus,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/doel-2
124,DOEL-3,Doel-3,Doel,51.3249,4.25658,Belgium,BE,Shutdown,PWR,W (3-loop),1975-01-01,1982-10-01,2022-09-23,890,Engie Electrabel + Edf Belgium + Edf Luminus,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/doel-3
125,DOEL-4,Doel-4,Doel,51.3249,4.25708,Belgium,BE,Operational,PWR,W (3-loop),1978-12-01,1985-07-01,,1000,Engie Electrabel + Edf Belgium + Edf Luminus,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/doel-4
126,TIHANGE-1,Tihange-1,Tihange,50.5333,5.271,Belgium,BE,Shutdown,PWR,Framatome 3 loops reactor,1970-06-01,1975-10-01,2025-09-30,870,Engie Electrabel,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/tihange-1
127,TIHANGE-2,Tihange-2,Tihange,50.5328,5.271,Belgium,BE,Shutdown,PWR,W (3-loop),1976-04-01,1983-06-01,2023-02-01,900,Engie Electrabel,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/tihange-2
128,TIHANGE-3,Tihange-3,Tihange,50.5323,5.271,Belgium,BE,Operational,PWR,W (3-loop),1978-11-01,1985-09-01,,1020,Engie Electrabel,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/tihange-3
129,ANGRA-1,Angra-1,Angra,-23.00833792,-44.45662445,Brazil,BR,Operational,PWR,2-loop WE,1971-05-01,1985-01-01,,626,Eletronuclear S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/angra-1
130,ANGRA-2,Angra-2,Angra,-23.00682958,-44.45760652,Brazil,BR,Operational,PWR,PRE KONVOI,1976-01-01,2001-02-01,,1245,Eletronuclear S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/angra-2
131,ANGRA-3,Angra-3,Angra,-23.00985088,-44.47100802,Brazil,BR,Under Construction,PWR,PRE KONVOI,2010-05-30,,,1340,Eletronuclear S.A.,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/angra-3
132,KOZLODUY-1,Kozloduy-1,Kozloduy,43.7437,23.776,Bulgaria,BG,Shutdown,PWR,VVER V-230,1970-04-01,1974-10-28,2002-12-31,408,Kozloduy NPP Plc,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/kozloduy-1
133,KOZLODUY-2,Kozloduy-2,Kozloduy,43.7437,23.777,Bulgaria,BG,Shutdown,PWR,VVER V-230,1970-04-01,1975-11-10,2002-12-31,408,Kozloduy NPP Plc,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/kozloduy-2
134,KOZLODUY-3,Kozloduy-3,Kozloduy,43.7437,23.778,Bulgaria,BG,Shutdown,PWR,VVER V-230,1973-10-01,1981-01-20,2006-12-31,408,Kozloduy NPP Plc,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/kozloduy-3
135,KOZLODUY-4,Kozloduy-4,Kozloduy,43.7437,23.779,Bulgaria,BG,Shutdown,PWR,VVER V-230,1973-10-01,1982-06-20,2006-12-31,408,Kozloduy NPP Plc,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/kozloduy-4
136,KOZLODUY-5,Kozloduy-5,Kozloduy,43.7466,23.7696,Bulgaria,BG,Operational,PWR,VVER V-320,1980-07-09,1988-12-23,,953,Kozloduy NPP Plc,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/kozloduy-5
137,KOZLODUY-6,Kozloduy-6,Kozloduy,43.7463,23.7709,Bulgaria,BG,Operational,PWR,VVER V-320,1982-04-01,1993-12-30,,953,Kozloduy NPP Plc,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/kozloduy-6
140,BRUCE-1,Bruce-1,Bruce A,44.3380544,-81.56999409,Canada,CA,Operational,PHWR,CANDU 791,1971-06-01,1977-09-01,,732,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-1
141,BRUCE-2,Bruce-2,Bruce A,44.3380544,-81.56999409,Canada,CA,Operational,PHWR,CANDU 791,1970-12-01,1977-09-01,,732,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-2
142,BRUCE-3,Bruce-3,Bruce A,44.3380544,-81.56999409,Canada,CA,Operational,PHWR,CANDU 750A,1972-07-01,1978-02-01,,750,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-3
143,BRUCE-4,Bruce-4,Bruce A,44.3380544,-81.56999409,Canada,CA,Operational,PHWR,CANDU 750A,1972-09-01,1979-01-18,,750,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-4
144,BRUCE-5,Bruce-5,Bruce B,44.3212279,-81.60033896,Canada,CA,Operational,PHWR,CANDU 750B,1978-05-31,1985-03-01,,822,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-5
145,BRUCE-6,Bruce-6,Bruce B,44.3212279,-81.60033896,Canada,CA,Operational,PHWR,CANDU 750B,1978-01-01,1984-09-14,,822,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-6
146,BRUCE-7,Bruce-7,Bruce B,44.3212279,-81.60033896,Canada,CA,Operational,PHWR,CANDU 750B,1979-05-01,1986-04-10,,822,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-7
147,BRUCE-8,Bruce-8,Bruce B,44.3212279,-81.60033896,Canada,CA,Operational,PHWR,CANDU 750B,1979-07-30,1987-05-22,,795,Bruce Power,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bruce-8
149,DARLINGTON-1,Darlington-1,Darlington,43.867,-78.7244,Canada,CA,Operational,PHWR,CANDU 850,1982-04-01,1992-11-14,,881,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/darlington-1
150,DARLINGTON-2,Darlington-2,Darlington,43.8665,-78.7244,Canada,CA,Operational,PHWR,CANDU 850,1981-09-01,1990-10-09,,881,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/darlington-2
151,DARLINGTON-3,Darlington-3,Darlington,43.866,-78.7244,Canada,CA,Operational,PHWR,CANDU 850,1984-09-01,1993-02-14,,881,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/darlington-3
152,DARLINGTON-4,Darlington-4,Darlington,43.8655,-78.7244,Canada,CA,Operational,PHWR,CANDU 850,1985-07-01,1993-06-14,,881,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/darlington-4
153,DOUGLAS POINT,Douglas Point,Douglas Point,44.3261,-81.6008,Canada,CA,Shutdown,PHWR,CANDU 200,1960-02-01,1968-09-26,1984-05-04,203,Ontario Hydro,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/douglas-point
154,GENTILLY-1,Gentilly-1,Gentilly,46.3946,-72.3567,Canada,CA,Shutdown,HWLWR,HW BLWR 250,1966-09-01,1972-05-01,1977-06-01,250,Hydro Quebec,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/gentilly-1
155,GENTILLY-2,Gentilly-2,Gentilly,46.3941,-72.3553,Canada,CA,Shutdown,PHWR,CANDU 6,1974-04-01,1983-10-01,2012-12-28,645,Hydro Quebec,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/gentilly-2
156,PICKERING-1,Pickering-1,Pickering,43.8116,-79.0695,Canada,CA,Shutdown,PHWR,CANDU 500A,1966-06-01,1971-07-29,2024-10-01,508,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-1
157,PICKERING-2,Pickering-2,Pickering,43.8116,-79.0689,Canada,CA,Shutdown,PHWR,CANDU 500A,1966-09-01,1971-12-30,2007-05-28,508,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-2
158,PICKERING-3,Pickering-3,Pickering,43.8114,-79.0679,Canada,CA,Shutdown,PHWR,CANDU 500A,1967-12-01,1972-06-01,2008-10-31,508,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-3
159,PICKERING-4,Pickering-4,Pickering,43.8113,-79.0673,Canada,CA,Shutdown,PHWR,CANDU 500A,1968-05-01,1973-06-17,2024-12-31,508,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-4
160,PICKERING-5,Pickering-5,Pickering,43.8107,-79.0649,Canada,CA,Operational,PHWR,CANDU 500B,1974-11-01,1983-05-10,,516,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-5
161,PICKERING-6,Pickering-6,Pickering,43.8105,-79.0642,Canada,CA,Operational,PHWR,CANDU 500B,1975-10-01,1984-02-01,,516,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-6
162,PICKERING-7,Pickering-7,Pickering,43.8102,-79.063,Canada,CA,Operational,PHWR,CANDU 500B,1976-03-01,1985-01-01,,516,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-7
163,PICKERING-8,Pickering-8,Pickering,43.81,-79.062,Canada,CA,Operational,PHWR,CANDU 500B,1976-09-01,1986-02-28,,516,Ontario Power Generation,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/pickering-8
166,ROLPHTON NPD,Rolphton NPD,Rolphton NPD,46.2008,-77.7046,Canada,CA,Shutdown,PHWR,CANDU,1958-01-01,1962-10-01,1987-08-01,17,Ontario Hydro,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/rolphton-npd
167,BAILONG-1,Bailong-1,Bailong,21.61474609,108.3032305,China,CN,Under Construction,PWR,CAP1000,2025-12-25,,,1161,SPIC,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/bailong-1
171,CHANGJIANG SMR,Changjiang SMR-1,Changjiang,19.46008912,108.8898823,China,CN,Under Construction,PWR,ACP100,2021-07-13,,,100,,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/changjiang-smr-1
172,CHANGJIANG-1,Changjiang-1,Changjiang,19.460492,108.895886,China,CN,Operational,PWR,CNP-600,2010-04-25,2015-12-25,,601,Hainan Nuclear Power Company,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/changjiang-1
174,CHANGJIANG-3,Changjiang-3,Changjiang,19.460492,108.8985,China,CN,Under Construction,PWR,Hualong One,2021-03-31,,,1100,China Huaneng Group,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/changjiang-3
175,CHANGJIANG-4,Changjiang-4,Changjiang,19.460492,108.8992,China,CN,Under Construction,PWR,Hualong One,2021-12-28,,,1100,China Huaneng Group,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/changjiang-4
176,DAYA BAY-1,Daya Bay-1,Daya Bay,22.5989,114.544,China,CN,Operational,PWR,M310,1987-08-07,1994-02-01,,930,Daya Bay Nuclear Power Operations and Management Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/daya-bay-1
177,DAYA BAY-2,Daya Bay-2,Daya Bay,22.5986,114.544,China,CN,Operational,PWR,M310,1988-04-07,1994-05-06,,930,Daya Bay Nuclear Power Operations and Management Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/daya-bay-2
178,FANGCHENGGANG-1,Fangchenggang-1,Fangchenggang,21.6695,108.561,China,CN,Operational,PWR,CPR-1000,2010-07-30,2016-01-01,,1000,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fangchenggang-1
179,FANGCHENGGANG-2,Fangchenggang-2,Fangchenggang,21.6695,108.563,China,CN,Operational,PWR,CPR-1000,2010-12-23,2016-10-01,,1000,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fangchenggang-2
180,FANGCHENGGANG-3,Fangchenggang-3,Fangchenggang,21.6712268,108.558182,China,CN,Operational,PWR,HPR1000,2015-12-24,2023-03-25,,1105,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fangchenggang-3
181,FANGCHENGGANG-4,Fangchenggang-4,Fangchenggang,21.6706,108.5597,China,CN,Operational,PWR,HPR1000,2016-12-23,2024-05-25,,1105,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fangchenggang-4
184,FANGJIASHAN-1,Fangjiashan-1,Fangjiashan,30.4163,120.951,China,CN,Operational,PWR,CPR-1000,2008-12-26,2014-12-15,,1000,Cnnc Nuclear Operation Management Company Limited,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fangjiashan-1
185,FANGJIASHAN-2,Fangjiashan-2,Fangjiashan,30.4113,120.951,China,CN,Operational,PWR,CPR-1000,2009-07-17,2015-02-12,,1000,Cnnc Nuclear Operation Management Company Limited,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fangjiashan-2
186,FUQING-1,Fuqing-1,Fuqing,25.43679038,119.4370291,China,CN,Operational,PWR,CPR-1000,2008-11-21,2014-11-22,,1000,CNNC Fujian Fuqing Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fuqing-1
187,FUQING-2,Fuqing-2,Fuqing,25.43730846,119.4376155,China,CN,Operational,PWR,CPR-1000,2009-06-17,2015-10-16,,1000,CNNC Fujian Fuqing Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fuqing-2
188,FUQING-3,Fuqing-3,Fuqing,25.44001593,119.4407295,China,CN,Operational,PWR,CPR-1000,2010-12-31,2016-10-24,,1000,CNNC Fujian Fuqing Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fuqing-3
189,FUQING-4,Fuqing-4,Fuqing,25.44050863,119.4414281,China,CN,Operational,PWR,CPR-1000,2012-11-17,2017-09-17,,1000,CNNC Fujian Fuqing Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fuqing-4
190,FUQING-5,Fuqing-5,Fuqing,25.44194741,119.4434346,China,CN,Operational,PWR,Hualong One,2015-05-07,2021-01-30,,1075,CNNC Fujian Fuqing Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fuqing-5
191,FUQING-6,Fuqing-6,Fuqing,25.35,119.453,China,CN,Operational,PWR,HPR1000,2015-12-22,2022-03-25,,1075,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/fuqing-6
194,HAIYANG-1,Haiyang-1,Haiyang,36.7042,121.382,China,CN,Operational,PWR,AP1000,2009-09-24,2018-10-22,,1126,"Shandong Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/haiyang-1
195,HAIYANG-2,Haiyang-2,Haiyang,36.7092,121.382,China,CN,Operational,PWR,AP1000,2010-06-20,2019-01-09,,1126,"Shandong Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/haiyang-2
196,HAIYANG-3,Haiyang-3,Haiyang,36.7142,121.382,China,CN,Under Construction,PWR,CAP1000,2022-07-07,,,1161,"Shandong Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/haiyang-3
197,HAIYANG-4,Haiyang-4,Haiyang,36.7142,121.387,China,CN,Under Construction,PWR,CAP1000,2023-04-22,,,1161,"Shandong Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/haiyang-4
200,HONGYANHE-1,Hongyanhe-1,Hongyanhe,39.79494,121.47377,China,CN,Operational,PWR,CPR-1000,2007-08-18,2013-06-06,,1061,Liaoning Hongyanhe Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/hongyanhe-1
201,HONGYANHE-2,Hongyanhe-2,Hongyanhe,39.8001,121.475,China,CN,Operational,PWR,CPR-1000,2008-03-28,2014-05-13,,1061,Liaoning Hongyanhe Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/hongyanhe-2
202,HONGYANHE-3,Hongyanhe-3,Hongyanhe,39.8051,121.468,China,CN,Operational,PWR,CPR-1000,2009-03-07,2015-08-16,,1061,Liaoning Hongyanhe Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/hongyanhe-3
203,HONGYANHE-4,Hongyanhe-4,Hongyanhe,39.81,121.468,China,CN,Operational,PWR,CPR-1000,2009-08-15,2016-06-08,,1061,Liaoning Hongyanhe Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/hongyanhe-4
204,HONGYANHE-5,Hongyanhe-5,Hongyanhe,39.815,121.468,China,CN,Operational,PWR,ACPR-1000,2015-03-29,2021-07-31,,1061,Liaoning Hongyanhe Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/hongyanhe-5
205,HONGYANHE-6,Hongyanhe-6,Hongyanhe,39.82,121.468,China,CN,Operational,PWR,ACPR-1000,2015-07-24,2022-06-23,,1061,Liaoning Hongyanhe Nuclear Power Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/hongyanhe-6
206,JINQIMEN-1,Jinqimen-1,Jinqimen,29.07676963,121.9035799,China,CN,Under Construction,PWR,Hualong One,2025-08-10,,,1120,,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/jinqimen-1
210,LIANJIANG-1,Lianjiang-1,Lianjiang,21.46905985,109.7541489,China,CN,Under Construction,PWR,CAP1000,2023-09-27,,,1161,"Zhanjiang Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/lianjiang-1
211,LIANJIANG-2,Lianjiang-2,Lianjiang,21.46905985,109.7541489,China,CN,Under Construction,PWR,CAP1000,2024-04-26,,,1161,"Zhanjiang Nuclear Power Company, Ltd.",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/lianjiang-2
212,LING AO-1,Ling Ao-1,Ling Ao,22.6058,114.55,China,CN,Operational,PWR,M310,1997-05-15,2002-05-28,,950,Daya Bay Nuclear Power Operations and Management Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ling-ao-1
213,LING AO-2,Ling Ao-2,Ling Ao,22.6053,114.55,China,CN,Operational,PWR,M310,1997-11-28,2003-01-08,,950,Daya Bay Nuclear Power Operations and Management Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ling-ao-2
214,LING AO-3,Ling Ao-3,Ling Ao,22.6089,114.552,China,CN,Operational,PWR,CPR-1000,2005-12-15,2010-09-15,,1007,Daya Bay Nuclear Power Operations and Management Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ling-ao-3
215,LING AO-4,Ling Ao-4,Ling Ao,22.6084,114.552,China,CN,Operational,PWR,CPR-1000,2006-06-15,2011-08-07,,1007,Daya Bay Nuclear Power Operations and Management Co Ltd,2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/ling-ao-4
216,LUFENG-1,Lufeng-1,Lufeng,22.74438,115.8182,China,CN,Under Construction,PWR,CAP1000,2025-02-24,,,1161,"CGN Lufeng Nuclear Power Co., Ltd",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/lufeng-1
217,LUFENG-2,Lufeng-2,Lufeng,22.74438,115.8182,China,CN,Under Construction,PWR,CAP1000,2025-12-22,,,1161,"CGN Lufeng Nuclear Power Co., Ltd",2026-03-27T00:19:47Z,WNA Explorer / Reactor Database,,https://world-nuclear.org/nuclear-reactor-database/details/lufeng-2
